,건축년도,주택유형,본번,부번,층,도로명,단지명,전용면적...,시군구
159,1989,아파트,28,0,15,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
160,1989,아파트,28,0,15,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
161,1989,아파트,28,0,15,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
162,1991,아파트,29,1,5,수성로275번길 133,신미주,76.38,경기도 수원시 장안구 정자동
163,1991,아파트,29,1,7,수성로275번길 133,신미주,72.64,경기도 수원시 장안구 정자동
164,1991,아파트,29,1,7,수성로275번길 133,신미주,76.38,경기도 수원시 장안구 정자동
165,1991,아파트,29,1,13,수성로275번길 133,신미주,67.38,경기도 수원시 장안구 정자동
166,1989,아파트,30,1,1,정자천로188번길 71-21,현대,84.53,경기도 수원시 장안구 정자동
167,1989,아파트,30,1,3,정자천로188번길 71-21,현대,84.94,경기도 수원시 장안구 정자동
168,1989,아파트,30,1,3,정자천로188번길 71-22,현대,70.96,경기도 수원시 장안구 정자동
169,1989,아파트,30,1,4,정자천로188번길 71-22,현대,70.96,경기도 수원시 장안구 정자동
170,1989,아파트,30,1,5,정자천로188번길 71-21,현대,84.94,경기도 수원시 장안구 정자동
171,1989,아파트,30,1,7,정자천로188번길 71-21,현대,84.94,경기도 수원시 장안구 정자동
172,1989,아파트,30,1,8,정자천로188번길 71-21,현대,84.94,경기도 수원시 장안구 정자동
173,1989,아파트,30,1,8,정자천로188번길 71-22,현대,70.96,경기도 수원시 장안구 정자동
174,1989,아파트,30,1,9,정자천로188번길 71-21,현대,84.53,경기도 수원시 장안구 정자동
175,1989,아파트,30,1,10,정자천로188번길 71-21,현대,84.94,경기도 수원시 장안구 정자동
176,1990,아파트,30,5,1,월드컵로179번길 14-7,수양,55.53,경기도 수원시 영통구 원천동
177,1990,아파트,30,5,4,월드컵로179번길 14-7,수양,55.53,경기도 수원시 영통구 원천동
178,1990,아파트,30,5,5,월드컵로179번길 14-7,수양,55.53,경기도 수원시 영통구 원천동
179,1986,아파트,31,0,4,광교산로 36,삼원,76.98,경기도 수원시 장안구 영화동
180,1985,아파트,31,3,1,수성로275번길 92,보은맨션,64.8,경기도 수원시 장안구 정자동
181,1985,아파트,31,3,1,수성로275번길 92,보은맨션,75.6,경기도 수원시 장안구 정자동
182,1985,아파트,31,3,2,수성로275번길 92,보은맨션,75.6,경기도 수원시 장안구 정자동
183,1985,아파트,31,3,4,수성로275번길 92,보은맨션,82.68,경기도 수원시 장안구 정자동
184,2005,아파트,32,1,3,매산로 75,KCC파크타운,84.87,경기도 수원시 팔달구 매산로3가
185,2005,아파트,32,1,6,매산로 75,KCC파크타운,84.87,경기도 수원시 팔달구 매산로3가
186,2005,아파트,32,1,14,매산로 75,KCC파크타운,84.91,경기도 수원시 팔달구 매산로3가
187,1987,아파트,35,0,1,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
188,1987,아파트,35,0,1,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
189,1987,아파트,35,0,1,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
190,1987,아파트,35,0,1,중부대로271번길 27-9,주공,66.38,경기도 수원시 영통구 원천동
191,1987,아파트,35,0,2,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
192,1987,아파트,35,0,2,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
193,1987,아파트,35,0,2,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
194,1987,아파트,35,0,3,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
195,1987,아파트,35,0,3,중부대로271번길 27-9,주공,49.94,경기도 수원시 영통구 원천동
196,1987,아파트,35,0,3,중부대로271번길 27-9,주공,67.28,경기도 수원시 영통구 원천동
197,1987,아파트,35,0,4,중부대로271번길 27-9,주공,32.39,경기도 수원시 영통구 원천동
198,1987,아파트,35,0,4,중부대로271번길 27-9,주공,41.3,경기도 수원시 영통구 원천동
