,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
305,20566.66667,20700,100.6482982,2004,71.61,3,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
306,20514.28571,6800,33.14763231,2004,71.61,4,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
307,20500,15540,75.80487805,2004,71.61,4,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
308,22250,17950,80.6741573,2004,71.61,5,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
309,21250,20059,94.39529412,2004,71.61,5,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
310,21140,18322.7,86.6731315,2004,71.61,6,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
311,21866.66667,15166.66667,69.3597561,2004,71.61,6,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
312,20000,15505,77.525,2004,71.61,7,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
313,23500,19800,84.25531915,2004,71.61,7,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
314,20900,13577.88889,64.96597554,2004,71.61,8,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
315,19650,18432.14286,93.80225373,2004,71.61,8,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
316,22833.33333,19964.2,87.43445255,2004,71.61,9,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
317,20500,19723.88889,96.21409214,2004,71.61,9,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
318,22100,19687.5,89.08371041,2004,71.61,10,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
319,23000,17966.25,78.11413043,2004,71.61,10,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
320,21783.33333,21032,96.55087988,2004,71.61,11,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
321,23166.66667,10625,45.86330935,2004,71.61,11,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
322,23200,19925,85.88362069,2004,71.61,12,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
323,23666.66667,16500,69.71830986,2004,71.61,12,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
324,19500,13200,67.69230769,2004,71.61,13,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
325,20150,16755,83.15136476,2004,71.61,13,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
326,23000,21000,91.30434783,2004,87.86,7,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
327,22900,12000,52.40174672,2004,87.86,10,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
328,26900,24500,91.07806691,2004,87.86,11,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
329,20900,17000,81.33971292,2004,88.62,5,99,10,주상빌딩,41111,수원시 장안구,율전동
330,19500,6500,33.33333333,2004,88.62,9,99,10,주상빌딩,41111,수원시 장안구,율전동
331,19400,16850,86.8556701,2004,88.62,11,99,10,주상빌딩,41111,수원시 장안구,율전동
332,18500,16400,88.64864865,2004,88.62,12,99,10,주상빌딩,41111,수원시 장안구,율전동
333,24366.66667,10000,41.03967168,2004,99.77,3,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
334,27200,24750,90.99264706,2004,99.77,9,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
335,5000,1554.545455,31.09090909,2005,19.95,2,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
336,5500,744.4444444,13.53535354,2005,19.95,3,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
337,4600,612.5,13.31521739,2005,19.95,4,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
338,5200,1257.142857,24.17582418,2005,19.95,6,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
339,5000,450,9,2005,19.95,7,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
340,5400,1845.454545,34.17508418,2005,19.95,8,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
341,5200,1655,31.82692308,2005,19.95,9,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
342,5325,500,9.389671362,2005,19.95,11,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
343,4700,1480,31.4893617,2005,19.95,12,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
344,5250,1914.285714,36.46258503,2005,19.95,13,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
345,5237.5,2490.909091,47.55912345,2005,19.95,14,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
346,5270,2234,42.39089184,2005,19.95,15,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
347,5500,366.6666667,6.666666667,2005,19.95,16,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
348,5500,1425,25.90909091,2005,19.95,18,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
349,6487.272727,1040,16.03139013,2005,27.19,2,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
350,6521.428571,1100,16.86746988,2005,27.19,3,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
351,6666.666667,1640,24.6,2005,27.19,4,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
352,6555.714286,1427.777778,21.77913368,2005,27.19,5,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
353,6500,1250,19.23076923,2005,27.19,6,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
354,6800,1030,15.14705882,2005,27.19,7,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
355,6466.666667,820,12.68041237,2005,27.19,8,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
356,6767.5,1445.454545,21.35876683,2005,27.19,9,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
357,6775,750,11.0701107,2005,27.19,10,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
358,6933.333333,400,5.769230769,2005,27.19,11,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
359,6623.333333,960,14.49421238,2005,27.19,12,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
360,6800,400,5.882352941,2005,28.33,5,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
361,7000,500,7.142857143,2005,30.61,3,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
362,7400,1000,13.51351351,2005,30.61,7,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
363,7000,750,10.71428571,2005,30.61,9,40,1,동인트루빌3오피스텔,41115,수원시 팔달구,매산로2가
364,8000,2655.555556,33.19444444,2005,30.98,3,1010,1,청광 노블하임,41113,수원시 권선구,권선동
365,9450,6707.727273,70.98124098,2005,30.98,4,1010,1,청광 노블하임,41113,수원시 권선구,권선동
366,8000,2583.333333,32.29166667,2005,30.98,5,1010,1,청광 노블하임,41113,수원시 권선구,권선동
367,7600,5455,71.77631579,2005,30.98,6,1010,1,청광 노블하임,41113,수원시 권선구,권선동
368,8000,4980,62.25,2005,30.98,7,1010,1,청광 노블하임,41113,수원시 권선구,권선동
369,8025,1642.857143,20.4717401,2005,30.98,8,1010,1,청광 노블하임,41113,수원시 권선구,권선동
370,8000,5700,71.25,2005,30.98,9,1010,1,청광 노블하임,41113,수원시 권선구,권선동
