,건축년도,보증금.만원.,거래금액.만원.,전세가율,주택유형,본번,부번,층,도로명,단지명,전용면적,시군구,동,편차,전용면적_그룹,평균 전세가율
116,1989,15605,50000,31.21,아파트,28,0,2,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-12.17132395,중형,43.38132395
117,1989,17583.33333,52500,33.49206349,아파트,28,0,2,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-9.88926046,중형,43.38132395
118,1989,18000,50250,35.82089552,아파트,28,0,3,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-7.56042843,중형,43.38132395
119,1989,19000,54000,35.18518519,아파트,28,0,3,중부대로223번길 92,우만주공2단지,59.39,경기도 수원시 팔달구 우만동,우만동,-8.19613876,중형,43.38132395
120,1989,12500,43500,28.73563218,아파트,28,0,4,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동,우만동,-14.64569177,중형,43.38132395
121,1989,16875,50000,33.75,아파트,28,0,4,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-9.63132395,중형,43.38132395
122,1989,12666.66667,46500,27.24014337,아파트,28,0,4,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동,우만동,-16.14118058,중형,43.38132395
123,1989,16918.18182,50000,33.83636364,아파트,28,0,4,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-9.54496031,중형,43.38132395
124,1989,17764.70588,56000,31.72268908,아파트,28,0,4,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-11.65863487,중형,43.38132395
125,1989,16250,49500,32.82828283,아파트,28,0,5,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-10.55304112,중형,43.38132395
126,1989,20887.5,55050,37.94277929,아파트,28,0,5,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-5.43854466,중형,43.38132395
127,1989,15987.5,52000,30.74519231,아파트,28,0,5,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-12.63613164,중형,43.38132395
128,1989,17250,51250,33.65853659,아파트,28,0,6,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-9.72278736,중형,43.38132395
129,1989,15344.44444,54000,28.41563786,아파트,28,0,6,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-14.96568609,중형,43.38132395
130,1989,17800,58000,30.68965517,아파트,28,0,7,중부대로223번길 54-13,우만주공2단지,61.52,경기도 수원시 팔달구 우만동,우만동,-27.70176688,대형,58.39142205
131,1989,15000,41100,36.49635036,아파트,28,0,7,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동,우만동,-6.88497359,중형,43.38132395
132,1989,16200,71800,22.56267409,아파트,28,0,7,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-20.81864986,중형,43.38132395
133,1989,16416.66667,59800,27.45261984,아파트,28,0,7,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-15.92870411,중형,43.38132395
134,1989,16612.5,47750,34.79057592,아파트,28,0,8,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-8.59074803,중형,43.38132395
135,1989,16000,42000,38.0952381,아파트,28,0,8,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동,우만동,-5.28608585,중형,43.38132395
136,1989,20950,61350,34.14832926,아파트,28,0,8,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-9.23299469,중형,43.38132395
137,1989,15833.33333,52000,30.44871795,아파트,28,0,9,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-12.932606,중형,43.38132395
138,1989,18000,50000,36,아파트,28,0,9,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동,우만동,-7.38132395,중형,43.38132395
139,1989,14666.66667,47800,30.68340307,아파트,28,0,9,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동,우만동,-12.69792088,중형,43.38132395
140,1989,17269.23077,55625,31.04580812,아파트,28,0,9,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-12.33551583,중형,43.38132395
141,1989,21616.66667,52500,41.17460317,아파트,28,0,9,중부대로223번길 92,우만주공2단지,59.39,경기도 수원시 팔달구 우만동,우만동,-2.20672078,중형,43.38132395
142,1989,17541.625,52000,33.73389423,아파트,28,0,10,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-9.64742972,중형,43.38132395
143,1989,18591.25,60000,30.98541667,아파트,28,0,10,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-12.39590728,중형,43.38132395
144,1989,12000,47733.33333,25.1396648,아파트,28,0,11,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동,우만동,-18.24165915,중형,43.38132395
145,1989,19400,61000,31.80327869,아파트,28,0,11,중부대로223번길 54-13,우만주공2단지,61.52,경기도 수원시 팔달구 우만동,우만동,-26.58814336,대형,58.39142205
146,1989,18000,45000,40,아파트,28,0,11,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동,우만동,-3.38132395,중형,43.38132395
147,1989,19000,53000,35.8490566,아파트,28,0,11,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동,우만동,-7.53226735,중형,43.38132395
148,1989,19953.33333,60500,32.98071625,아파트,28,0,11,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-10.4006077,중형,43.38132395
149,1989,18000,47500,37.89473684,아파트,28,0,12,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동,우만동,-5.48658711,중형,43.38132395
150,1989,13600,52500,25.9047619,아파트,28,0,12,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-17.47656205,중형,43.38132395
151,1989,18336.36364,54500,33.64470392,아파트,28,0,12,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-9.73662003,중형,43.38132395
152,1989,14450,49500,29.19191919,아파트,28,0,13,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동,우만동,-14.18940476,중형,43.38132395
153,1989,18750,52500,35.71428571,아파트,28,0,13,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-7.66703824,중형,43.38132395
154,1989,16500,51100,32.28962818,아파트,28,0,13,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-11.09169577,중형,43.38132395
155,1989,21529.54545,60250,35.7336854,아파트,28,0,13,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-7.64763855,중형,43.38132395
156,1989,14641.14286,42000,34.85986395,아파트,28,0,14,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동,우만동,-8.52146,중형,43.38132395
157,1989,14962.5,48000,31.171875,아파트,28,0,14,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-12.20944895,중형,43.38132395
158,1989,15677.85714,61000,25.70140515,아파트,28,0,14,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-17.6799188,중형,43.38132395
159,1989,16714.28571,49250,33.93763597,아파트,28,0,15,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-9.44368798,중형,43.38132395
160,1989,15585,57850,26.94036301,아파트,28,0,15,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동,우만동,-16.44096094,중형,43.38132395
161,1989,19454.54545,59733.33333,32.56899351,아파트,28,0,15,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-10.81233044,중형,43.38132395
